編號,樣本ID,完整檔名,檔案大小(MB)
1094,SRR12180941,SRR12180941_1.fastq,16612.84
1095,SRR12180941,SRR12180941_2.fastq,16612.84
1096,SRR12180942,SRR12180942_1.fastq,13123.89
1097,SRR12180942,SRR12180942_2.fastq,13123.89
1098,SRR12180943,SRR12180943_1.fastq,13620.39
1099,SRR12180943,SRR12180943_2.fastq,13620.39
1100,SRR12180944,SRR12180944_1.fastq,15520.22
1101,SRR12180944,SRR12180944_2.fastq,15520.22
1102,SRR12180945,SRR12180945_1.fastq,10128.79
1103,SRR12180945,SRR12180945_2.fastq,10128.79
1104,SRR12180946,SRR12180946_1.fastq,18916.47
1105,SRR12180946,SRR12180946_2.fastq,18916.47
1106,SRR12180947,SRR12180947_1.fastq,16770.59
1107,SRR12180947,SRR12180947_2.fastq,16770.59
1108,SRR12180948,SRR12180948_1.fastq,18063.11
1109,SRR12180948,SRR12180948_2.fastq,18063.11
1110,SRR12180949,SRR12180949_1.fastq,18260.54
1111,SRR12180949,SRR12180949_2.fastq,18260.54
1112,SRR12180950,SRR12180950_1.fastq,17137.42
1113,SRR12180950,SRR12180950_2.fastq,17137.42
1114,SRR12180951,SRR12180951_1.fastq,11930.46
1115,SRR12180951,SRR12180951_2.fastq,11930.46
1116,SRR12180952,SRR12180952_1.fastq,13350.71
1117,SRR12180952,SRR12180952_2.fastq,13350.71
1118,SRR12180953,SRR12180953_1.fastq,17360.92
1119,SRR12180953,SRR12180953_2.fastq,17360.92
1120,SRR12180954,SRR12180954_1.fastq,6992.53
1121,SRR12180954,SRR12180954_2.fastq,10422.77
1122,SRR12180955,SRR12180955_1.fastq,17409.76
1123,SRR12180955,SRR12180955_2.fastq,17409.76
1124,SRR12180956,SRR12180956_1.fastq,10704.34
1125,SRR12180956,SRR12180956_2.fastq,10704.34
1126,SRR12180957,SRR12180957_1.fastq,14565.72
1127,SRR12180957,SRR12180957_2.fastq,14565.72
1128,SRR12180958,SRR12180958_1.fastq,21404.14
1129,SRR12180958,SRR12180958_2.fastq,21404.14
1130,SRR12180959,SRR12180959_1.fastq,16974.5
1131,SRR12180959,SRR12180959_2.fastq,16974.5
1132,SRR12180960,SRR12180960_1.fastq,16958.53
1133,SRR12180960,SRR12180960_2.fastq,16958.53
1134,SRR12180961,SRR12180961_1.fastq,23378.38
1135,SRR12180961,SRR12180961_2.fastq,23378.38
1136,SRR12180962,SRR12180962_1.fastq,6286.57
1137,SRR12180962,SRR12180962_2.fastq,6266.57
1138,SRR12180963,SRR12180963_1.fastq,16689.0
1139,SRR12180963,SRR12180963_2.fastq,16689.0
1140,SRR12180964,SRR12180964_1.fastq,10825.17
1141,SRR12180964,SRR12180964_2.fastq,10825.17
1142,SRR12180965,SRR12180965_1.fastq,15941.23
1143,SRR12180965,SRR12180965_2.fastq,15941.23
1144,SRR12180966,SRR12180966_1.fastq,12227.53
1145,SRR12180966,SRR12180966_2.fastq,12227.53
1146,SRR12180967,SRR12180967_1.fastq,13390.02
1147,SRR12180967,SRR12180967_2.fastq,13390.02
1148,SRR12180968,SRR12180968_1.fastq,13838.25
1149,SRR12180968,SRR12180968_2.fastq,13838.25
1150,SRR12180969,SRR12180969_1.fastq,9517.63
1151,SRR12180969,SRR12180969_2.fastq,9517.63
1152,SRR12180970,SRR12180970_1.fastq,15155.02
1153,SRR12180970,SRR12180970_2.fastq,15155.02
1154,SRR12180971,SRR12180971_1.fastq,15552.84
1155,SRR12180971,SRR12180971_2.fastq,15552.84
1156,SRR12180972,SRR12180972_1.fastq,4817.64
1157,SRR12180972,SRR12180972_2.fastq,14537.7
1158,SRR12180973,SRR12180973_1.fastq,11193.89
1159,SRR12180973,SRR12180973_2.fastq,11193.89
1160,SRR12180974,SRR12180974_1.fastq,12109.32
1161,SRR12180974,SRR12180974_2.fastq,12109.32
1162,SRR12180975,SRR12180975_1.fastq,11773.26
1163,SRR12180975,SRR12180975_2.fastq,11773.26
1164,SRR12180976,SRR12180976_1.fastq,12797.48
1165,SRR12180976,SRR12180976_2.fastq,12797.48
1166,SRR12180977,SRR12180977_1.fastq,13469.55
1167,SRR12180977,SRR12180977_2.fastq,13469.55
1168,SRR12180978,SRR12180978_1.fastq,12510.01
1169,SRR12180978,SRR12180978_2.fastq,12510.01
1170,SRR12180979,SRR12180979_1.fastq,14099.7
1171,SRR12180979,SRR12180979_2.fastq,14099.7
1172,SRR12180980,SRR12180980_1.fastq,12878.15
1173,SRR12180980,SRR12180980_2.fastq,12878.15
1174,SRR12180981,SRR12180981_1.fastq,13641.17
1175,SRR12180981,SRR12180981_2.fastq,13641.17
1176,SRR12180982,SRR12180982_1.fastq,16188.48
1177,SRR12180982,SRR12180982_2.fastq,16188.48
1178,SRR12180983,SRR12180983_1.fastq,12060.35
1179,SRR12180983,SRR12180983_2.fastq,12060.35
1180,SRR12180984,SRR12180984_1.fastq,15434.71
1181,SRR12180984,SRR12180984_2.fastq,15434.71
1182,SRR12180985,SRR12180985_1.fastq,11951.76
1183,SRR12180985,SRR12180985_2.fastq,11951.76
1184,SRR12180986,SRR12180986_1.fastq,12088.97
1185,SRR12180986,SRR12180986_2.fastq,12088.97
1186,SRR12180987,SRR12180987_1.fastq,18765.25
1187,SRR12180987,SRR12180987_2.fastq,18765.25
1188,SRR12180988,SRR12180988_1.fastq,13481.41
1189,SRR12180988,SRR12180988_2.fastq,13481.41
1190,SRR12180989,SRR12180989_1.fastq,13795.08
1191,SRR12180989,SRR12180989_2.fastq,13795.08
1192,SRR12180990,SRR12180990_1.fastq,11257.34
1193,SRR12180990,SRR12180990_2.fastq,11257.34
1194,SRR12180991,SRR12180991_1.fastq,13149.48
1195,SRR12180991,SRR12180991_2.fastq,13149.48
1196,SRR12180992,SRR12180992_1.fastq,13415.39
1197,SRR12180992,SRR12180992_2.fastq,13415.39
1198,SRR12180993,SRR12180993_1.fastq,15819.07
1199,SRR12180993,SRR12180993_2.fastq,15819.07
1200,SRR12180994,SRR12180994_1.fastq,11817.94
1201,SRR12180994,SRR12180994_2.fastq,11817.94
1202,SRR12180995,SRR12180995_1.fastq,12755.88
1203,SRR12180995,SRR12180995_2.fastq,12755.88
1204,SRR12180996,SRR12180996_1.fastq,11476.05
1205,SRR12180996,SRR12180996_2.fastq,11476.05
1206,SRR12180997,SRR12180997_1.fastq,14180.61
1207,SRR12180997,SRR12180997_2.fastq,14180.61
1208,SRR12180998,SRR12180998_1.fastq,12278.4
1209,SRR12180998,SRR12180998_2.fastq,12278.4
1210,SRR12180999,SRR12180999_1.fastq,13424.35
1211,SRR12180999,SRR12180999_2.fastq,13424.35
1212,SRR12181000,SRR12181000_1.fastq,11686.55
1213,SRR12181000,SRR12181000_2.fastq,11686.55
1214,SRR12181001,SRR12181001_1.fastq,12906.13
1215,SRR12181001,SRR12181001_2.fastq,12906.13
1216,SRR12181002,SRR12181002_1.fastq,11433.44
1217,SRR12181002,SRR12181002_2.fastq,11433.44
1218,SRR12181003,SRR12181003_1.fastq,16704.68
1219,SRR12181003,SRR12181003_2.fastq,16704.68
1220,SRR12181004,SRR12181004_1.fastq,13184.43
1221,SRR12181004,SRR12181004_2.fastq,13184.43
1222,SRR12181005,SRR12181005_1.fastq,11258.33
1223,SRR12181005,SRR12181005_2.fastq,11258.33
1224,SRR12181006,SRR12181006_1.fastq,22970.02
1225,SRR12181006,SRR12181006_2.fastq,22970.02
1226,SRR12181007,SRR12181007_1.fastq,7609.02
1227,SRR12181007,SRR12181007_2.fastq,7609.02
1228,SRR12181008,SRR12181008_1.fastq,17665.19
1229,SRR12181008,SRR12181008_2.fastq,17665.19
1230,SRR12181009,SRR12181009_1.fastq,13158.96
1231,SRR12181009,SRR12181009_2.fastq,13158.96
1232,SRR12181010,SRR12181010_1.fastq,11504.5
1233,SRR12181010,SRR12181010_2.fastq,11504.5
1234,SRR12181011,SRR12181011_1.fastq,9177.07
1235,SRR12181011,SRR12181011_2.fastq,9177.07
1236,SRR12181012,SRR12181012_1.fastq,16779.27
1237,SRR12181012,SRR12181012_2.fastq,16779.27
1238,SRR12181013,SRR12181013_1.fastq,10896.8
1239,SRR12181013,SRR12181013_2.fastq,10896.8
1240,SRR12181014,SRR12181014_1.fastq,13077.62
1241,SRR12181014,SRR12181014_2.fastq,13077.62
1242,SRR12181015,SRR12181015_1.fastq,14717.27
1243,SRR12181015,SRR12181015_2.fastq,14717.27
1244,SRR12181016,SRR12181016_1.fastq,10158.0
1245,SRR12181016,SRR12181016_2.fastq,10158.0
1246,SRR12181017,SRR12181017_1.fastq,15399.78
1247,SRR12181017,SRR12181017_2.fastq,15399.78
1248,SRR12181018,SRR12181018_1.fastq,16945.79
